Name,ActiveCases,Recovered,Death,Total cases,Date
Andhra Pradesh,3,0,0,3,3/21/2020
Chandigarh,1,0,0,1,3/21/2020
Chhattisgarh,1,0,0,1,3/21/2020
Delhi,20,5,1,26,3/21/2020
Gujarat,7,0,0,7,3/21/2020
Haryana,17,0,0,17,3/21/2020
Himachal Pradesh,2,0,0,2,3/21/2020
Jammu and Kashmir,4,0,0,4,3/21/2020
Karnataka,13,1,1,15,3/21/2020
Kerala,37,3,0,40,3/21/2020
Ladakh,13,0,0,13,3/21/2020
Madhya Pradesh,4,0,0,4,3/21/2020
Maharashtra,62,0,1,63,3/21/2020
Odisha,2,0,0,2,3/21/2020
Puducherry,1,0,0,1,3/21/2020
Punjab,12,0,1,13,3/21/2020
Rajasthan,14,3,0,17,3/21/2020
Tamil Nadu,2,1,0,3,3/21/2020
Telangana,20,1,0,21,3/21/2020
Uttar Pradesh,15,9,0,24,3/21/2020
Uttarakhand,3,0,0,3,3/21/2020
West Bengal,3,0,0,3,3/21/2020
Andhra Pradesh,3,0,0,3,3/22/2020
Chandigarh,5,0,0,5,3/22/2020
Chhattisgarh,1,0,0,1,3/22/2020
Delhi,21,5,1,27,3/22/2020
Gujarat,14,0,0,14,3/22/2020
Haryana,17,0,0,17,3/22/2020
Himachal Pradesh,2,0,0,2,3/22/2020
Jammu and Kashmir,4,0,0,4,3/22/2020
Karnataka,17,2,1,20,3/22/2020
Kerala,49,3,0,52,3/22/2020
Ladakh,13,0,0,13,3/22/2020
Madhya Pradesh,4,0,0,4,3/22/2020
Maharashtra,61,0,2,63,3/22/2020
Odisha,2,0,0,2,3/22/2020
Puducherry,1,0,0,1,3/22/2020
Punjab,12,0,1,13,3/22/2020
Rajasthan,21,3,0,24,3/22/2020
Tamil Nadu,5,1,0,6,3/22/2020
Telangana,20,1,0,21,3/22/2020
Uttar Pradesh,16,9,0,25,3/22/2020
Uttarakhand,3,0,0,3,3/22/2020
West Bengal,4,0,0,4,3/22/2020
Andhra Pradesh,7,0,0,7,3/23/2020
Bihar,1,0,1,2,3/23/2020
Chandigarh,6,0,0,6,3/23/2020
Chhattisgarh,1,0,0,1,3/23/2020
Delhi,23,5,1,29,3/23/2020
Gujarat,28,0,1,29,3/23/2020
Haryana,15,11,0,26,3/23/2020
Himachal Pradesh,2,0,1,3,3/23/2020
Jammu and Kashmir,4,0,0,4,3/23/2020
Karnataka,30,2,1,33,3/23/2020
Kerala,64,3,0,67,3/23/2020
Ladakh,13,0,0,13,3/23/2020
Madhya Pradesh,6,0,0,6,3/23/2020
Maharashtra,72,0,2,74,3/23/2020
Odisha,2,0,0,2,3/23/2020
Puducherry,1,0,0,1,3/23/2020
Punjab,20,0,1,21,3/23/2020
Rajasthan,25,3,0,28,3/23/2020
Tamil Nadu,8,1,0,9,3/23/2020
Telangana,31,1,0,32,3/23/2020
Uttar Pradesh,22,9,0,31,3/23/2020
Uttarakhand,3,0,0,3,3/23/2020
West Bengal,6,0,1,7,3/23/2020
Andhra Pradesh,8,0,0,8,3/24/2020
Bihar,2,0,1,3,3/24/2020
Chandigarh,7,0,0,7,3/24/2020
Chhattisgarh,1,0,0,1,3/24/2020
Delhi,22,6,2,30,3/24/2020
Gujarat,32,0,1,33,3/24/2020
Haryana,17,11,0,28,3/24/2020
Himachal Pradesh,2,0,1,3,3/24/2020
Jammu and Kashmir,4,0,0,4,3/24/2020
Karnataka,33,3,1,37,3/24/2020
Kerala,91,4,0,95,3/24/2020
Ladakh,13,0,0,13,3/24/2020
Madhya Pradesh,7,0,0,7,3/24/2020
Maharashtra,87,0,2,89,3/24/2020
Manipur,1,0,0,1,3/24/2020
Odisha,2,0,0,2,3/24/2020
Puducherry,1,0,0,1,3/24/2020
Punjab,28,0,1,29,3/24/2020
Rajasthan,29,3,0,32,3/24/2020
Tamil Nadu,14,1,0,15,3/24/2020
Telangana,34,1,0,35,3/24/2020
Uttar Pradesh,22,11,0,33,3/24/2020
Uttarakhand,4,0,0,4,3/24/2020
West Bengal,8,0,1,9,3/24/2020
Andhra Pradesh,8,1,0,9,3/25/2020
Bihar,3,0,1,4,3/25/2020
Chandigarh,7,0,0,7,3/25/2020
Chhattisgarh,1,0,0,1,3/25/2020
Delhi,24,6,1,31,3/25/2020
Gujarat,37,0,1,38,3/25/2020
Haryana,17,11,0,28,3/25/2020
Himachal Pradesh,2,0,1,3,3/25/2020
Jammu and Kashmir,6,1,0,7,3/25/2020
Karnataka,37,3,1,41,3/25/2020
Kerala,105,4,0,109,3/25/2020
Ladakh,13,0,0,13,3/25/2020
Madhya Pradesh,14,0,0,14,3/25/2020
Maharashtra,124,1,3,128,3/25/2020
Manipur,1,0,0,1,3/25/2020
Mizoram,1,0,0,1,3/25/2020
Odisha,2,0,0,2,3/25/2020
Puducherry,1,0,0,1,3/25/2020
Punjab,28,0,1,29,3/25/2020
Rajasthan,33,3,0,36,3/25/2020
Tamil Nadu,17,1,0,18,3/25/2020
Telangana,34,1,0,35,3/25/2020
Uttar Pradesh,26,11,0,37,3/25/2020
Uttarakhand,4,0,0,4,3/25/2020
West Bengal,8,0,1,9,3/25/2020
Andhra Pradesh,10,1,0,11,3/26/2020
Bihar,2,0,1,3,3/26/2020
Chandigarh,7,0,0,7,3/26/2020
Chhattisgarh,3,0,0,3,3/26/2020
Delhi,28,6,1,35,3/26/2020
Goa,3,0,0,3,3/26/2020
Gujarat,36,0,2,38,3/26/2020
Haryana,19,11,0,30,3/26/2020
Himachal Pradesh,2,0,1,3,3/26/2020
Jammu and Kashmir,10,1,0,11,3/26/2020
Karnataka,37,3,1,41,3/26/2020
Kerala,114,4,0,118,3/26/2020
Ladakh,13,0,0,13,3/26/2020
Madhya Pradesh,14,0,1,15,3/26/2020
Maharashtra,120,1,3,124,3/26/2020
Manipur,1,0,0,1,3/26/2020
Mizoram,1,0,0,1,3/26/2020
Odisha,2,0,0,2,3/26/2020
Puducherry,1,0,0,1,3/26/2020
Punjab,32,0,1,33,3/26/2020
Rajasthan,35,3,0,38,3/26/2020
Tamil Nadu,24,1,1,26,3/26/2020
